codigo_ocorrencia,fator_area_FATOR HUMANO,fator_area_FATOR MATERIAL,fator_area_FATOR OPERACIONAL,fator_area_OUTRO
45891,0,0,1,0
45899,0,0,1,0
45900,0,0,1,0
45901,0,0,1,0
45912,0,0,1,0
45914,0,0,1,0
45927,0,0,1,0
45929,0,0,1,0
45930,0,0,1,1
45932,0,0,1,0
45933,0,0,1,0
45934,1,0,1,0
45936,0,0,1,0
46024,0,0,1,0
46026,0,0,1,0
46042,0,0,1,0
46048,0,0,1,0
46049,0,0,1,0
46092,1,0,1,0
46093,0,0,1,0
46152,0,0,1,0
46154,0,0,1,0
46170,1,0,1,0
46172,1,0,1,0
46181,1,0,1,0
46187,0,1,0,0
46199,1,0,1,0
46200,0,0,1,0
46201,0,0,1,0
46202,1,0,1,0
46253,1,0,1,0
46255,1,0,1,0
46256,1,0,1,0
46257,0,0,1,0
46259,0,0,1,0
46260,0,0,1,1
46261,0,0,1,0
46263,0,0,1,0
46280,0,0,1,0
46281,0,0,1,0
46282,0,0,1,0
46300,0,1,0,0
46305,0,0,1,0
46310,1,0,1,0
46336,0,0,1,0
46337,0,0,1,0
46338,0,0,0,1
46356,0,0,1,1
46368,0,0,1,0
46373,0,0,1,0
46411,1,0,1,0
46415,0,0,1,0
46431,0,0,1,0
46434,1,0,1,0
46435,1,0,1,0
46437,1,0,1,0
46443,0,0,1,0
46444,0,0,1,0
46445,0,0,1,0
46446,0,0,1,0
46449,0,0,1,0
46450,0,0,1,0
46451,0,0,1,0
46496,0,0,1,0
46498,0,0,1,0
46561,0,0,1,0
46563,1,0,1,0
46564,0,0,1,0
46565,0,0,1,0
46568,0,0,1,0
46570,1,0,1,0
46582,1,0,1,0
46583,1,0,1,0
46584,0,0,1,0
46587,0,0,0,1
46590,0,0,1,0
46591,1,0,1,0
46630,0,0,1,0
46712,0,0,1,0
46734,0,0,1,0
46746,1,0,1,0
46747,1,0,1,0
46748,1,0,1,1
46750,0,0,1,0
46751,1,0,1,0
46753,1,0,1,0
46756,0,0,1,0
46781,1,0,1,0
46839,1,1,1,0
46840,1,0,1,0
46846,1,0,1,0
46852,0,0,1,0
46854,0,0,1,0
46855,1,0,1,1
46856,1,0,1,0
46857,1,0,1,0
46858,0,0,1,0
46860,0,0,1,0
46862,0,0,1,0
46864,0,0,1,0
46865,0,0,1,0
46873,0,0,1,0
46901,0,0,1,1
46916,1,0,1,0
46918,0,0,1,0
46919,1,0,1,0
46969,1,0,1,0
47012,1,0,1,0
47013,0,0,1,0
47015,1,0,1,0
47047,1,0,1,0
47074,0,0,1,0
47075,0,0,1,0
47108,1,0,1,0
47110,1,0,1,0
47133,0,0,1,0
47142,1,0,1,1
47156,0,0,1,0
47339,0,0,1,0
47354,0,0,1,0
47649,0,0,1,0
47652,0,0,1,0
47659,1,0,1,0
47661,0,0,1,0
47697,0,0,1,0
47876,0,0,1,0
47879,1,0,1,0
47938,1,0,1,0
47966,0,0,1,0
47981,1,0,1,0
47983,1,0,1,0
48012,1,0,1,0
48013,0,0,1,0
48055,0,0,1,0
48429,1,0,0,0
48438,0,0,1,0
48630,0,0,1,0
48652,1,0,1,0
48653,0,0,1,0
48654,1,0,1,0
48661,0,0,1,0
48727,1,0,1,0
48762,0,0,1,0
48772,0,0,1,0
48791,0,0,1,0
48795,0,0,1,0
48796,0,0,1,0
48797,1,0,1,0
48800,0,0,1,0
48804,0,0,1,0
48876,0,0,1,0
48878,0,0,1,0
48879,0,0,1,0
48881,0,0,1,0
49053,0,0,1,0
49113,0,0,1,0
49116,1,0,1,0
49117,0,0,1,0
49118,0,0,1,0
49119,0,0,1,0
49120,1,0,1,0
49121,0,0,1,0
49122,0,0,1,0
49123,0,0,1,0
49125,0,0,1,0
49152,0,0,1,0
49156,0,0,1,0
49157,0,0,1,0
49158,1,0,1,0
49194,0,0,1,0
49233,0,0,1,0
49237,1,0,1,0
49451,0,0,1,0
49454,0,0,1,1
49472,0,0,1,0
49473,0,0,1,0
49474,0,0,1,1
49475,0,0,1,0
49494,0,0,1,0
49511,0,0,1,0
49513,0,1,1,0
49591,0,0,1,0
49592,0,0,1,0
49593,1,0,1,0
49611,1,0,1,0
