codigo_ocorrencia,classificacao,tipo,localidade,uf,pais,aerodromo,dia_ocorrencia,horario,sera_investigada,comando_investigador,status_investigacao,numero_relatorio,relatorio_publicado,dia_publicacao,quantidade_recomendacoes,aeronaves_envolvidas,saida_pista,codigo_aeronave,matricula,codigo_operador,equipamento,fabricante,modelo,tipo_motor,quantidade_motores,peso_maximo_decolagem,quantidade_assentos,ano_fabricacao,pais_registro,categoria_registro,categoria_aviacao,origem_voo,destino_voo,fase_operacao,tipo_operacao,nivel_dano,quantidade_fatalidades,dia_extracao,fator_area_FATOR HUMANO,fator_area_FATOR MATERIAL,fator_area_FATOR OPERACIONAL,fator_area_OUTRO
52278,ACIDENTE,PERDA DE CONTROLE EM VOO,CANDÓI,PR,BRASIL,N/A,2014-08-31,19:50:00,SIM,SERIPA-5,FINALIZADA,A-152/CENIPA/2014,1.0,2015-04-24,0,1,0.0,4101,PTYFD,3992,HELICÓPTERO,ROBINSON HELICOPTER,R44,PISTÃO,1.0,1089,4.0,1997-01-01,BRASIL,TPP,PARTICULAR,N/A,N/A,DECOLAGEM,PRIVADA,SUBSTANCIAL,0.0,2016-07-30,0.0,0.0,0.0,0.0
43321,ACIDENTE,PERDA DE CONTROLE EM VOO,ITAPORÃ,MS,BRASIL,N/A,2010-11-25,12:20:00,SIM,SERIPA-4,ATIVA,A DEFINIR,0.0,,0,1,0.0,11561,PTUFG,774,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,PISTÃO,1.0,1800,1.0,1980-01-01,BRASIL,SAE,ESPECIALIZADA,SSPO,SSPO,ESPECIALIZADA,ESPECIALIZADA,SUBSTANCIAL,0.0,2016-07-30,0.0,0.0,0.0,0.0
45062,ACIDENTE,PERDA DE CONTROLE NO SOLO,AVARÉ,SP,BRASIL,N/A,2011-09-30,18:15:00,SIM,SERIPA-4,FINALIZADA,A-613/CENIPA/2014,1.0,2015-03-20,2,1,0.0,12662,PTWAF,3992,ANFÍBIO,CONSOLIDATED,LAKE 250,PISTÃO,1.0,1424,4.0,1990-01-01,BRASIL,TPP,PARTICULAR,N/A,N/A,POUSO,PRIVADA,SUBSTANCIAL,0.0,2016-07-30,0.0,0.0,0.0,1.0
42303,INCIDENTE GRAVE,PANE SECA,CALDAS NOVAS,GO,BRASIL,N/A,2010-08-07,20:50:00,N/A,SERIPA-6,INATIVA,0,0.0,,0,1,0.0,11272,PTZOB,3992,AVIÃO,INPAER INDUSTRIA PAULISTA E AERONÁUTICA,EXPLORER,PISTÃO,1.0,1200,4.0,2010-01-01,BRASIL,PET,EXPERIMENTAL,N/A,N/A,MANOBRA,EXPERIMENTAL,NENHUM,0.0,2016-07-30,0.0,0.0,0.0,0.0
46448,INCIDENTE GRAVE,FALHA DO MOTOR EM VOO,CALDAS NOVAS,GO,BRASIL,N/A,2012-10-11,11:00:00,SIM,SERIPA-6,FINALIZADA,IG-181/CENIPA/2013,1.0,2014-01-08,0,1,0.0,256,PPKBP,161,AVIÃO,XAVANTE,A-122-B,PISTÃO,1.0,840,2.0,1978-01-01,BRASIL,PRI,INSTRUÇÃO,N/A,N/A,DECOLAGEM,INSTRUÇÃO,NENHUM,0.0,2016-07-30,0.0,0.0,0.0,0.0
49616,ACIDENTE,PERDA DE CONTROLE EM VOO,CALDAS NOVAS,GO,BRASIL,N/A,2013-09-20,13:45:00,SIM,SERIPA-6,ATIVA,A-168/CENIPA/2013,0.0,,0,1,0.0,10384,PTVRF,3992,AVIÃO,EMBRAER,EMB-810D,PISTÃO,2.0,2155,7.0,1994-01-01,BRASIL,TPP,PARTICULAR,SNOF,SBCN,APROXIMAÇÃO FINAL,PRIVADA,DESTRUÍDA,5.0,2016-07-30,1.0,0.0,1.0,0.0
45527,ACIDENTE,PERDA DE CONTROLE EM VOO,CORUPÁ,SC,BRASIL,N/A,2012-02-24,11:45:00,SIM,SERIPA-5,FINALIZADA,A-086/CENIPA/2013,1.0,2013-11-27,0,1,0.0,12798,PTXAB,326,AVIÃO,PIPER AIRCRAFT,PA-25-235,PISTÃO,1.0,1315,1.0,1975-01-01,BRASIL,SAE,ESPECIALIZADA,N/A,N/A,OUTRA FASE,AGRÍCOLA,SUBSTANCIAL,0.0,2016-07-30,0.0,0.0,0.0,0.0
43658,ACIDENTE,PERDA DE CONTROLE EM VOO,CORUPÁ,SC,BRASIL,N/A,2011-01-03,12:00:00,SIM,SERIPA-5,FINALIZADA,A-102/CENIPA/2012,1.0,2012-09-20,4,1,0.0,4274,PTDJS,112,AVIÃO,PIPER AIRCRAFT,PA-25-260,PISTÃO,1.0,1315,1.0,1970-01-01,BRASIL,SAE-AG,AGRÍCOLA,N/A,N/A,OUTRA FASE,AGRÍCOLA,SUBSTANCIAL,1.0,2016-07-30,1.0,0.0,1.0,0.0
34518,ACIDENTE,COLISÃO EM VOO COM OBSTÁCULO,RIO DAS OSTRAS,RJ,BRASIL,N/A,2008-11-11,14:15:00,SIM,SERIPA-3,ATIVA,A DEFINIR,0.0,,0,1,0.0,9666,PRTOS,3992,HELICÓPTERO,ROBINSON HELICOPTER,R44 II,PISTÃO,1.0,1134,4.0,2006-01-01,BRASIL,TPP,PARTICULAR,SJUY,N/A,CRUZEIRO,PRIVADA,DESTRUÍDA,0.0,2016-07-30,1.0,0.0,1.0,0.0
46750,ACIDENTE,ESTOURO DE PNEU,IPIRANGA DO NORTE,MT,BRASIL,N/A,2012-12-21,17:30:00,SIM,SERIPA-6,FINALIZADA,A-604/CENIPA/2014,1.0,2014-10-14,0,1,0.0,13478,PTVVG,3992,AVIÃO,EMBRAER,EMB-202A,PISTÃO,1.0,1800,1.0,2012-01-01,BRASIL,TPP,PARTICULAR,N/A,N/A,CORRIDA APÓS POUSO,AGRÍCOLA,SUBSTANCIAL,0.0,2016-07-30,0.0,0.0,1.0,0.0
